"category","subcategory","img","title","link","price"
"Fruits and vegetables","salats","https://src.zakaz.atbmarket.com/cache/photos/52959/catalog_list_52959.jpg","Капуста пелюстка 400 г Розумний Вибір по-корейськи п/відро","https://www.atbmarket.com/product/kapusta-pelustka-400-g-rozumnij-vibir-po-korejski-pvidro","55.30"
"Fruits and vegetables","salats","https://src.zakaz.atbmarket.com/cache/photos/52955/catalog_list_52955.jpg","Салат Морква 400 г Розумний Вибір по-корейськи п/відро ( Чудова марка)","https://www.atbmarket.com/product/salat-morkva-400-g-rozumnij-vibir-po-korejski-pvidro-cudova-marka","49.90"
"Fruits and vegetables","salats","https://src.zakaz.atbmarket.com/cache/photos/26605/catalog_list_26605.jpg","Огірки 1000г/600г Розумний вибір солоні( Чудова Марка)","https://www.atbmarket.com/product/ogirki-1000g600g-rozumnij-vibir-soloni-cudova-marka","93.40"
"Fruits and vegetables","salats","https://src.zakaz.atbmarket.com/cache/photos/26555/catalog_list_26555.jpg","Томати Черрі 500г/300г Розумний вибір","https://www.atbmarket.com/product/tomati-cerri-500g300g-rozumnij-vibir","60.50"
"Fruits and vegetables","salats","https://src.zakaz.atbmarket.com/cache/photos/26501/catalog_list_26501.jpg","Морська капуста 0,5 кг Розумний вибір","https://www.atbmarket.com/product/morska-kapusta-05-kg-rozumnij-vibir","65.90"
"Fruits and vegetables","salats","https://src.zakaz.atbmarket.com/cache/photos/8585/catalog_list_8585.jpg","Набір салатів 300 г Розумний вибір по-корейськи № 16","https://www.atbmarket.com/product/nabir-salativ-300-g-rozumnij-vibir-po-korejski-no-16","75.20"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/19437/catalog_list_19437.jpg","Мандарини","https://www.atbmarket.com/product/mandarini-1gat","72.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/5/catalog_list_5.jpg","Грейпфрут","https://www.atbmarket.com/product/grejpfrut-1gat","89.89"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/6652/catalog_list_6652.jpg","Лимон Майер 1 гат","https://www.atbmarket.com/product/limon-majer-1-gat","49.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/6651/catalog_list_6651.jpg","Авокадо Хаас вагове 1 гат","https://www.atbmarket.com/product/avokado-haas-vagove-1-gat","209.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/19483/catalog_list_19483.png","Авокадо вагове 1 гат","https://www.atbmarket.com/product/avokado-vagove-1-gat","169.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/1868/catalog_list_1868.jpg","Виноград Рожевий","https://www.atbmarket.com/product/vinograd-rozevij-1-gat","99.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/8234/catalog_list_8234.jpg","Гранат Азербайджан","https://www.atbmarket.com/product/granat-azerbajdzan-1-gat","86.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/6772/catalog_list_6772.jpg","Гранат","https://www.atbmarket.com/product/granat-1gat","86.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/18797/catalog_list_18797.jpg","Банан","https://www.atbmarket.com/product/banan-1-gat","55.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/12413/catalog_list_12413.jpg","Лохина 125 г 1 гат","https://www.atbmarket.com/product/lohina-125-g-1-gat","149.90"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/19441/catalog_list_19441.png","Яблуко Гала","https://www.atbmarket.com/product/abluko-gala-1-gat","30.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/87/catalog_list_87.jpg","Апельсин","https://www.atbmarket.com/product/apelsin-vag-1-gat","89.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/64/catalog_list_64.jpg","Яблуко Голден","https://www.atbmarket.com/product/abluko-golden-1-gat","34.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/25/catalog_list_25.png","Лимон","https://www.atbmarket.com/product/limon-1-gat","69.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/60459/catalog_list_60459.png","Яблуко Ред Чіф 1 гат","https://www.atbmarket.com/product/abluko-red-cif-1-gat","39.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/18507/catalog_list_18507.jpg","Яблуко Сортове 1 гат.","https://www.atbmarket.com/product/abluko-sortove","29.95"
"Fruits and vegetables","fruits","https://src.zakaz.atbmarket.com/cache/photos/18479/catalog_list_18479.jpg","Хурма Персимона","https://www.atbmarket.com/product/hurma-persimona-1-gat","109.95"
